STATION;LAT;LON;ALT;PARAMETER;YEAR;MONTH;DAY;HOUR;AVERAGING_PERIOD;CONCENTRATION;UNITS
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;3;1;26;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;3;1;33.3367;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;3;1;17;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;3;1;42.8824;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;3;1;12.0846;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;3;1;31.7696;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;3;1;23.7575;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;3;1;31.3555;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;3;1;14.6364;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;3;1;41.9671;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;3;1;50.2048;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;3;1;84.9748;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;3;1;33.9291;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;3;1;26.6564;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;4;1;28;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;4;1;36;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;4;1;80;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;4;1;28;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;4;1;35;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;4;1;28;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;4;1;30;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;4;1;29;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;4;1;61.5235;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;4;1;33;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;4;1;41.5963;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;4;1;19.2787;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;4;1;42.2856;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;4;1;20.138;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;4;1;33.7216;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;4;1;12.1706;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;4;1;49.3915;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;4;1;61.9733;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;4;1;82.4784;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;4;1;31.4315;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;4;1;35.0189;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;5;1;49;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;5;1;42;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;5;1;150;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;5;1;42;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;5;1;40;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;5;1;50;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;5;1;20;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;5;1;32;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;5;1;69.9596;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;5;1;29;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;5;1;36.7985;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;5;1;24.1282;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;5;1;44.573;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;5;1;30.6947;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;5;1;45.6314;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;5;1;18.2095;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;5;1;43.2321;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;5;1;96.3464;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;5;1;109.294;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;5;1;48.2291;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;5;1;33.7438;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;6;1;115;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;6;1;66;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;6;1;171;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;6;1;34;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;6;1;65;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;6;1;79;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;6;1;17;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;6;1;101;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;6;1;99999;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;6;1;28;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;6;1;77.0134;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;6;1;57.879;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;6;1;93.6646;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;6;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;6;1;67.1179;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;6;1;26.6834;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;6;1;108.414;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;6;1;198.456;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;6;1;188.874;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;6;1;44.5809;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;6;1;62.714;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;7;1;79;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;7;1;62;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;7;1;198;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;7;1;54;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;7;1;57;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;7;1;74;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;7;1;22;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;7;1;98;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;7;1;76.2018;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;7;1;19;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;7;1;36.6871;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;7;1;49.159;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;7;1;50.3542;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;7;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;7;1;58.6878;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;7;1;23.0106;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;7;1;70.1561;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;7;1;134.02;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;7;1;110.198;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;7;1;44.5023;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;7;1;44.5194;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;8;1;59;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;8;1;75;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;8;1;160;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;8;1;49;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;8;1;65;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;8;1;56;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;8;1;11;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;8;1;73;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;8;1;53.8757;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;8;1;27;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;8;1;39.022;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;8;1;59.9013;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;8;1;35.0655;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;8;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;8;1;50.2286;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;8;1;20.5705;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;8;1;44.2872;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;8;1;83.9968;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;8;1;94.8215;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;8;1;44.4149;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;8;1;45.7275;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;9;1;58;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;9;1;65;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;9;1;155;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;9;1;38;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;9;1;35;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;9;1;37;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;9;1;22;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;9;1;78;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;9;1;31.6231;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;9;1;31;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;9;1;36.6138;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;9;1;74.118;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;9;1;29.1859;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;9;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;9;1;53.7066;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;9;1;20.5436;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;9;1;41.7584;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;9;1;59.0683;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;9;1;73.6579;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;9;1;41.9547;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;9;1;58.8523;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;10;1;63;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;10;1;59;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;10;1;115;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;10;1;29;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;10;1;33;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;10;1;43;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;10;1;21;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;10;1;83;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;10;1;29.0643;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;10;1;22;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;10;1;27.0872;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;10;1;58.4576;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;10;1;27.9737;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;10;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;10;1;39.3297;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;10;1;19.2904;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;10;1;25.717;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;10;1;43.658;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;10;1;44.3655;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;10;1;35.9086;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;10;1;85.0434;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;11;1;68;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;11;1;55;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;11;1;94;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;11;1;22;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;11;1;35;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;11;1;35;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;11;1;12;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;11;1;76;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;11;1;29.0129;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;11;1;22;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;11;1;24.6881;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;11;1;49.9955;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;11;1;24.4057;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;11;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;11;1;36.831;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;11;1;19.2688;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;11;1;29.3063;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;11;1;43.6103;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;11;1;37.3173;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;11;1;28.6812;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;11;1;49.0737;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;12;1;67;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;12;1;48;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;12;1;87;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;12;1;12;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;12;1;37;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;12;1;32;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;12;1;16;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;12;1;43;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;12;1;28.9561;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;12;1;27;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;12;1;19.9718;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;12;1;48.7053;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;12;1;15.1033;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;12;1;99999;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;12;1;46.3278;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;12;1;18.0315;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;12;1;15.932;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;12;1;32.9167;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;12;1;26.7741;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;12;1;29.8312;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;12;1;44.1948;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;13;1;53;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;13;1;50;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;13;1;54;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;13;1;11;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;13;1;42;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;13;1;52;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;13;1;20;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;13;1;49;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;13;1;30.4589;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;13;1;46;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;13;1;41.5482;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;13;1;40.4625;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;13;1;9.37936;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;13;1;45.703;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;13;1;12.0716;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;13;1;24.8032;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;13;1;30.7323;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;13;1;34.1644;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;13;1;19.2378;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;13;1;30.0921;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;14;1;50;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;14;1;45;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;14;1;32;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;14;1;8;ug/m3
